,Model Year,Electric Range,Base MSRP,VIN (1-10)
0,1997,39.0,,1
1,1998,58.0,,1
2,1999,74.0,,5
3,2000,58.0,,7
4,2002,95.0,,2
5,2003,95.0,,1
6,2008,220.0,98950.0,21
7,2010,226.875,101205.625,24
8,2011,70.95923913043478,109000.0,736
9,2012,61.514733542319746,63184.397163120564,1595
10,2013,79.45339761248852,69900.0,4363
11,2014,80.50212284177752,69900.0,3533
12,2015,97.50020755500208,845000.0,4818
13,2016,101.98787988422576,32194.791666666668,5528
14,2017,114.49028901734104,39332.80876494024,8650
15,2018,156.52573221757322,54093.20987654321,14340
16,2019,176.32259835315645,44438.089770354905,10933
17,2020,239.82912074252093,81100.0,12149
18,2021,49.09035738368173,,19531
19,2022,28.945694160418086,,28116
20,2023,30.30975361950724,,60084
21,2024,31.507920458375462,,16963
22,2025,37.0,,6
