,Model Year,Make,Electric Range,Base MSRP,VIN (1-10)
0,1997,CHEVROLET,39.0,,1
1,1998,FORD,58.0,,1
2,1999,FORD,74.0,,5
3,2000,FORD,58.0,,7
4,2002,TOYOTA,95.0,,2
5,2003,TOYOTA,95.0,,1
6,2008,TESLA,220.0,98950.0,21
7,2010,TESLA,245.0,110950.0,21
8,2010,WHEEGO ELECTRIC CARS,100.0,32995.0,3
9,2011,AZURE DYNAMICS,56.0,,5
10,2011,CHEVROLET,35.0,,68
11,2011,NISSAN,73.0,,652
12,2011,TESLA,245.0,109000.0,6
13,2011,TH!NK,100.0,,5
14,2012,AZURE DYNAMICS,56.0,,3
15,2012,CHEVROLET,35.0,,456
16,2012,FISKER,33.0,102000.0,11
17,2012,FORD,76.0,,12
18,2012,MITSUBISHI,62.0,,40
19,2012,NISSAN,73.0,,556
20,2012,TESLA,265.0,59900.0,130
21,2012,TOYOTA,8.255813953488373,,387
22,2013,CHEVROLET,38.0,,774
23,2013,FIAT,87.0,,106
24,2013,FORD,25.010204081632654,,588
25,2013,HONDA,,,7
26,2013,NISSAN,75.0,,1854
27,2013,SMART,68.0,,26
28,2013,TESLA,208.0,69900.0,716
29,2013,TOYOTA,10.318493150684931,,292
30,2014,BMW,73.22863741339492,,433
31,2014,CADILLAC,37.0,,56
32,2014,CHEVROLET,41.319615912208505,,729
33,2014,FIAT,87.0,,90
34,2014,FORD,24.48258706467662,,603
35,2014,HONDA,13.0,,10
36,2014,MERCEDES-BENZ,87.0,,27
37,2014,MITSUBISHI,62.0,,9
38,2014,NISSAN,84.0,,625
39,2014,PORSCHE,15.0,,10
40,2014,SMART,58.416666666666664,,72
41,2014,TESLA,208.0,69900.0,645
42,2014,TOYOTA,17.258928571428573,,224
43,2015,BMW,69.50374064837905,,401
44,2015,CHEVROLET,47.55263157894737,,456
45,2015,FIAT,87.0,,228
46,2015,FORD,22.642857142857142,,532
47,2015,KIA,93.0,,20
48,2015,MERCEDES-BENZ,80.65217391304348,,23
49,2015,NISSAN,84.0,,1803
50,2015,PORSCHE,14.441176470588236,845000.0,34
51,2015,SMART,68.0,,47
52,2015,TESLA,208.0,,1052
53,2015,TOYOTA,6.0,,101
54,2015,VOLKSWAGEN,83.0,,121
55,2016,AUDI,16.0,,208
56,2016,BMW,43.293010752688176,43700.0,372
57,2016,CADILLAC,39.1578947368421,,19
58,2016,CHEVROLET,61.756493506493506,,308
59,2016,FIAT,84.0,,141
60,2016,FORD,21.4946949602122,,754
61,2016,HYUNDAI,27.0,,42
62,2016,KIA,93.0,31950.0,376
63,2016,MERCEDES-BENZ,56.08108108108108,,37
64,2016,MITSUBISHI,62.0,,10
65,2016,NISSAN,84.0,,1111
66,2016,PORSCHE,14.121621621621621,,74
67,2016,SMART,68.0,,30
68,2016,TESLA,205.8652657601978,,1618
69,2016,VOLKSWAGEN,83.0,,324
70,2016,VOLVO,13.0,,104
71,2017,AUDI,16.0,,186
72,2017,BMW,59.79315476190476,47957.142857142855,672
73,2017,CADILLAC,31.0,75095.0,3
74,2017,CHEVROLET,146.5022719328906,,2861
75,2017,CHRYSLER,33.0,,93
76,2017,FIAT,84.0,,151
77,2017,FORD,23.318611987381704,,634
78,2017,HYUNDAI,60.83720930232558,,43
79,2017,KIA,74.98994974874371,32250.0,199
80,2017,MERCEDES-BENZ,47.733333333333334,,45
81,2017,MITSUBISHI,59.0,,1
82,2017,NISSAN,107.0,,910
83,2017,PORSCHE,14.0,,73
84,2017,SMART,57.93939393939394,,33
85,2017,TESLA,206.3528009535161,,1678
86,2017,TOYOTA,25.0,,903
87,2017,VOLKSWAGEN,125.0,,56
88,2017,VOLVO,14.0,,109
89,2018,AUDI,16.0,,166
